 AdditionalInfo,Address,City,CountryId,Email,Id,Latitude,Longitude,Phone,Phone2,Phone3,Point,StateProvinceId,StoreId,StoreLocatorName,ZipCode,TradingMonFri,TradingSat,TradingSunPub
NULL,86 Hibernia Street George  ,George,73,NULL,0205,-33.95920482,22.45799055,043 054 0412,,,George,84,Lewis Stores,George,6530,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,"Shop 7, Ratsoma Shp Cntr The farm Battle 519 KS Tshehlwaneng Village Magnet Heights",Magnet Heights,73,NULL,1152,-24.790097,29.973827,013 007 9290,,,Magnet Heights,80,Lewis Stores,Magnet Heights,1435,08:00 - 18:00,08:00 - 15:00,CLOSED
NULL,192 Murchison Street Ladysmith  ,Ladysmith  Natal,73,NULL,0410,-28.558841,29.781673,036 514 0103,,,Ladysmith  Natal,79,Lewis Stores,Ladysmith  Natal,3370,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 7 Namica Shopping Centre Okuryangava Namibia,Okuryangava,182,NULL,1153,-22.51104,17.05001,00264 6122 2081,00264 6140 1860,00264 6125 9604,Okuryangava,False,Lewis Stores,Okuryangava,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,12c Market Street Vereeniging  ,Vereeniging,73,NULL,0525,-26.674693,27.930585,021 000 3350,,,Vereeniging,78,Lewis Stores,Vereeniging,1939,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,250B Church Street Vryheid ,Vryheid,73,NULL,1094,-27.76601847,30.79920337,034 108 6026,,,Vryheid,79,Lewis Stores,Vryheid,3100,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop No13 NONGOMA SHOPPING CENTRE MAIN ROAD NONGOMA,NONGOMA,73,NULL,1143,-27.91673473,31.64634885,035 514 0142,,,NONGOMA,79,Lewis Stores,NONGOMA,3950,08:00 - 17:00,08:00 - 13:00,09:00 - 13:00
NULL,Shop no 52 Tshilamba Retail Centre Thengwe Road Tshilamba,Tshilamba,73,NULL,1144,-22.743473,30.53169,015 007 9481,,,Tshilamba,80,Lewis Stores,Tshilamba,0956,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 18 Morone Shng Cnt Dirk Winterbach Street Burgersfort ,Burgersfort,73,NULL,1145,-24.672136,30.330527,013 007 9023,,,Burgersfort,81,Lewis Stores,Burgersfort,1150,08:00 - 18:00,08:00 - 15:00,CLOSED
NULL,"Block E8, Watergate Cnt Cnr R300 & AZ Berman Dri Mitchells Plain ",Mitchells Plain,73,NULL,1146,-34.018875,18.60957,021 054 5169,,,Mitchells Plain,84,Lewis Stores,Mitchells Plain,7785,08:00 - 18:00,08:00 - 15:00,09:00 - 13:00
NULL,Shop 12 (C) Buhleni Shopping Centre Buhleni ,Buhleni,219,NULL,1147,-25.925492,31.508892,00268 243 16904,00268 243 16653,,Buhleni,False,Lewis Stores,Buhleni,9999,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Hidipo Hamutenya Street Karibib Namibia ,Karibib,182,NULL,1149,-21.93708132,15.85322039,00264 6455 0669,00264 6455 0630,00264 6455 0655,Karibib,False,Lewis Stores,Karibib,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 8B Bloch's Centre 18 Van Riebeek Road Kraaifontein,Kraaifontein,73,NULL,0105,-33.8525236,18.7233099,021 054 2575,,,Kraaifontein,84,Lewis Stores,Kraaifontein,7570,08:00 - 17:30,08:00 - 13:00,CLOSED
NULL,182 Voortrekker Road Parow  ,Parow,73,NULL,0107,-33.906137,18.585721,021 054 2574,,,Parow,84,Lewis Stores,Parow,7500,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,143b Voortrekker Road Bellville  ,Bellville,73,NULL,0108,-33.901006,18.628926,,021 054 8561,,Bellville,84,Lewis Stores,Bellville,7530,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,11 Piet Retief Street Malmesbury  ,Malmesbury,73,NULL,0109,-33.461752,18.730781,022 108 5002,,,Malmesbury,84,Lewis Stores,Malmesbury,7299,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Wynberg Centre cnr Main & Piers Roads Wynberg ,Wynberg Withinshaw,73,NULL,0110,-34.00674846,18.46931625,021 054 2573,,,Wynberg Withinshaw,84,Lewis Stores,Wynberg Withinshaw,7800,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,"Shop 2b, Shoprite Cntr Cnr Berg River & Van der Lingen Street Paarl",Paarl,73,NULL,0112,-33.732718,18.969393,021 054 2561,,,Paarl,84,Lewis Stores,Paarl,7646,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,46 Donkin Street Beaufort West  ,Beaufort West,73,NULL,0113,-32.34786578,22.58226845,023 108 5170,,,Beaufort West,84,Lewis Stores,Beaufort West,6970,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,23 Bath Street Montagu  ,Montagu,73,NULL,0115,-33.786783,20.120916,023 108 5172,,,Montagu,84,Lewis Stores,Montagu,6720,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,69 Voortrekker Street Ceres  ,Ceres,73,NULL,0117,-33.36956,19.309786,023 108 5171,,,Ceres,84,Lewis Stores,Ceres,6835,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,cnr Long & Main Street Knysna  ,Knysna,73,NULL,0122,-34.03574299,23.0491084,044 514 0007,,,Knysna,84,Lewis Stores,Knysna,6570,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,12 Plein Street Caledon  ,Caledon,73,NULL,0123,-34.233292,19.428652,028 054 0058,,,Caledon,84,Lewis Stores,Caledon,7230,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Swart Street Heidelberg  ,Heidelberg  Cape,73,NULL,0124,-34.09031764,20.9566402,028 054 0057,,,Heidelberg  Cape,84,Lewis Stores,Heidelberg  Cape,6665,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,39 van Riebeek Street Ladismith  ,Ladismith  Cape,73,NULL,0125,-33.49401782,21.27036261,028 054 0059,,,Ladismith  Cape,84,Lewis Stores,Ladismith  Cape,6655,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Hoof Street Keimoes  ,Keimoes,73,NULL,0127,-28.711171,20.979248,054 109 9021,,,Keimoes,82,Lewis Stores,Keimoes,8860,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Saldanha Winkels Main Street Saldanha Bay ,Saldanha Bay,73,NULL,0128,-33.008342,17.945222,022 108 5015,,,Saldanha Bay,84,Lewis Stores,Saldanha Bay,7395,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,65 Church Street Prince Albert  ,Prince Albert,73,NULL,0129,-33.22362209,22.02962418,023 108 5167,,,Prince Albert,84,Lewis Stores,Prince Albert,6930,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,92 Voortrekker Street Swellendam  ,Swellendam,73,NULL,0131,-34.021275,20.442968,021 005 4568,,,Swellendam,84,Lewis Stores,Swellendam,6740,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,23 Kerk Street Bredasdorp  ,Bredasdorp,73,NULL,0132,-34.5339455,20.04015647,028 054 0055,,,Bredasdorp,84,Lewis Stores,Bredasdorp,7280,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,60 Church Street Victoria West  ,Victoria West,73,NULL,0133,-31.4036843,23.11231988,053 108 5041,,,Victoria West,82,Lewis Stores,Victoria West,7070,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,cnr Voortrekker & Loop St Springbok  ,Springbok,73,NULL,0134,-29.66813,17.88284,027 054 0105,,,Springbok,82,Lewis Stores,Springbok,8240,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,3 Main Street Riversdale  ,Riversdale,73,NULL,0135,-34.092189,21.262175,028 054 0056,,,Riversdale,84,Lewis Stores,Riversdale,6770,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shops F12 & F13 Station Plaza Shopping 7th Avenue Town Centre Mitchells Plain,Mitchells Plain,73,NULL,0136,-34.05040304,18.61954009,021 005 4537,,,Mitchells Plain,84,Lewis Stores,Mitchells Plain,7785,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,52 Church Street Colesberg  ,Colesberg,73,NULL,0137,-30.718906,25.098616,051 054 5279,,,Colesberg,82,Lewis Stores,Colesberg,9795,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,99 Main Road Somerset West  ,Somerset West,73,NULL,0138,-34.08591375,18.85253754,021 054 4430,,,Somerset West,84,Lewis Stores,Somerset West,7130,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,5 Hope Street Calvinia  ,Calvinia,73,NULL,0139,-31.474936,19.775942,027 054 0103,,,Calvinia,82,Lewis Stores,Calvinia,8190,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,45 Long Street Moorreesburg  ,Moorreesburg,73,NULL,0141,-33.155425,18.664186,022 108 5009,,,Moorreesburg,84,Lewis Stores,Moorreesburg,7310,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,12 Stewart Street Prieska  ,Prieska,73,NULL,0142,-29.665028,22.747944,053 108 5039,,,Prieska,82,Lewis Stores,Prieska,8940,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,7 Keerom Street Grabouw  ,Grabouw,73,NULL,0144,-34.15177548,19.02220996,021 054 4449,,,Grabouw,84,Lewis Stores,Grabouw,7160,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,27 Market Street Strand  ,Strand,73,NULL,0145,-34.11595256,18.82803978,021 054 4491,,,Strand,84,Lewis Stores,Strand,7140,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Alheit Street Carnarvon  ,Carnarvon,73,NULL,0146,-30.96659386,22.1292725,016 514 0141,,,Carnarvon,82,Lewis Stores,Carnarvon,8925,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Landbou Huis 45 Church Street Piketberg ,Piketberg,73,NULL,0147,-32.905773,18.756903,022 108 5014,,,Piketberg,84,Lewis Stores,Piketberg,7320,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,32 Voortrekker Street Springbok  ,Springbok,73,NULL,0149,-29.665133,17.885049,027 054 0104,,,Springbok,82,Lewis Stores,Springbok,8240,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,17 Church Street Wellington  ,Wellington,73,NULL,0152,-33.640114,19.00722,021 005 4503,,,Wellington,84,Lewis Stores,Wellington,7655,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,16 Kerk Street Robertson  ,Robertson,73,NULL,0154,-33.805875,19.884384,023 108 5162,,,Robertson,84,Lewis Stores,Robertson,6705,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,43c Main Road Vredenburg  ,Vredenburg,73,NULL,0155,-32.906492,17.994155,022 108 5016,,,Vredenburg,84,Lewis Stores,Vredenburg,7380,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop 1 Beyershof Building Beyers Street Stellenbosch,Stellenbosch,73,NULL,0156,-33.934282,18.859052,021 005 4552,,,Stellenbosch,84,Lewis Stores,Stellenbosch,7600,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shops L55 & 56 Cleary Park Shop Cntr Stanford Road Port Elizabeth,Cleary Park,73,NULL,0159,-33.89443091,25.5274635,041 054 5494,,,Cleary Park,76,Lewis Stores,Cleary Park,6059,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Kuils River Shop Centre 66 van Riebeek Road Kuils River ,Kuilsriver,73,NULL,0163,-33.92572511,18.67866948,021 054 0897,,,Kuilsriver,84,Lewis Stores,Kuilsriver,7580,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,22 Voortrekker Road Vredendal  ,Vredendal,73,NULL,0165,-31.66250156,18.50879961,028 054 0053,,,Vredendal,84,Lewis Stores,Vredendal,8160,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,47 Stockenstroom Street Worcester  ,Worcester,73,NULL,0166,-33.643392,19.447923,023 108 5165,,,Worcester,84,Lewis Stores,Worcester,6850,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Block A 147 Bahnhoff Street Rehoboth Namibia,Rehoboth,182,NULL,0167,-23.31910222,17.0778773,00264 6252 4221,00264 6252 4246,,Rehoboth,False,Lewis Stores,Rehoboth,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,73 Main Street Tsumeb Namibia ,Tsumeb,182,NULL,0168,-19.24307542,17.71500873,00264 6722 1567,00264 6722 1654,00264 6722 0753,Tsumeb,False,Lewis Stores,Tsumeb,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Drieboom Street Mariental Namibia ,Mariental,182,NULL,0169,-24.628097,17.960828,00264 6324 0418,00264 6324 0796,00264 6324 0728,Mariental,False,Lewis Stores,Mariental,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Old Klipfontein Road Athlone  ,Athlone,73,NULL,0170,-33.96145,18.504435,021 054 2572,,,Athlone,84,Lewis Stores,Athlone,7764,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,110 St Georges Street Simonstown  ,Simonstown,73,NULL,0175,-34.19348756,18.43250023,021 005 4538,,,Simonstown,84,Lewis Stores,Simonstown,7995,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,67d Adderley Street Worcester  ,Worcester,73,NULL,0177,-33.647127,19.444705,023 108 5161,,,Worcester,84,Lewis Stores,Worcester,6850,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,57 Bahnhoff Street Windhoek Namibia ,Windhoek,182,NULL,0180,-22.56084173,17.08223174,00264 6122 4641,00264 6122 4642,00264 6122 4643,Windhoek,False,Lewis Stores,Windhoek,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,78 Theo Ben Gurirab Str Walvis Bay Namibia ,Walvis Bay,182,NULL,0181,-22.9584326,14.50230224,00264 6420 5954,00264 6420 5955,00264 6420 5598,Walvis Bay,False,Lewis Stores,Walvis Bay,9190,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Erf 9495 Church Street Gobabis Namibia,Gobabis,182,NULL,0182,-22.44998844,18.97258349,00264 6256 2645,00264 6256 2166,00264 6256 4132,Gobabis,False,Lewis Stores,Gobabis,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,St Georges Street Otjiwarongo Namibia ,Otjiwarongo,182,NULL,0183,-20.45914117,16.65126578,0026467302556,00264 6730 2089,,Otjiwarongo,False,Lewis Stores,Otjiwarongo,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Cnr TheoBen Guriab & Main Streets Usakos Namibia,Usakos,182,NULL,0185,-22.001094,15.586212,00264 6453 0330,00264 6453 0059,,Usakos,False,Lewis Stores,Usakos,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Gibeoner Road Keetmanshoop Namibia ,Keetmanshoop,182,NULL,0186,-26.577499,18.13254,00264 6322 3301,00264 6322 3302,,Keetmanshoop,False,Lewis Stores,Keetmanshoop,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,21 Hage Geingob Avenue Grootfontein Namibia ,Grootfontein,182,NULL,0187,-19.56397346,18.10284281,00264 6724 2505,00264 6724 2506,,Grootfontein,False,Lewis Stores,Grootfontein,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,81 Independence Avenue Windhoek Namibia ,Windhoek,182,NULL,0188,-22.571046,17.084781,00264 6124 0056,00264 6124 0034,00264 6124 0035,Windhoek,False,Lewis Stores,Windhoek,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,66 Martin Neibse Street Okahandja Namibia ,Okahandja,182,NULL,0189,-21.978937,16.915363,00264 6250 3440,00264 6250 3441,00264 6250 3430,Okahandja,False,Lewis Stores,Okahandja,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Bay Road Luderitz Namibia ,Luderitz,182,NULL,0191,-26.648518,15.154564,00264 6320 3960,00264 6320 4058,00264 6320 4064,Luderitz,False,Lewis Stores,Luderitz,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Abraham Maseco Street Katatura Windhoek Namibia,Katatura Windhoek,182,NULL,0192,-22.52020028,17.04610822,00264 6121 0113,00264 6121 0153,00264 6121 6727,Katatura Windhoek,False,Lewis Stores,Katatura Windhoek,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Main Road Ondangwa Namibia ,Ondangwa,182,NULL,0194,-17.9143812,15.98678192,00264 6524 0996,00264 6524 1001,00264 6524 0171,Ondangwa,False,Lewis Stores,Ondangwa,9000,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Cnr Nataniel Maxilili & Woermann Streets Swakopmund Namibia,Swakopmund,182,NULL,0195,-22.679123,14.52762,00264 6440 4515,00264 6440 3032,00264 6440 3558,Swakopmund,False,Lewis Stores,Swakopmund,9999,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,58 Hibernia Street George  ,George,73,NULL,0201,-33.96067488,22.46076255,044 001 0407,,,George,84,Lewis Stores,George,6530,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop no 6A Pier 14 Shopping Centre 444 Govan Mbeki Avenue Port Elizabeth,Port Elizabeth,73,NULL,0202,-33.95802746,25.61899632,041 054 5490,,,Port Elizabeth,76,Lewis Stores,Port Elizabeth,6001,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,576580 Main Street Govan Mbeki Ave Northend Port Elizabeth,Port Elizabeth,73,NULL,0203,-33.94487505,25.60582035,041 054 5434,,,Port Elizabeth,76,Lewis Stores,Port Elizabeth,6001,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,40 Market Street Uitenhage  ,Uitenhage,73,NULL,0204,-33.76871,25.39991,041 054 5437,,,Uitenhage,76,Lewis Stores,Uitenhage,6229,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,146 Oxford Street East London  ,East London,73,NULL,0207,-33.012968,27.902847,043 054 0435,,,East London,76,Lewis Stores,East London,5201,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,68a High Street Oudtshoorn  ,Oudtshoorn,73,NULL,0208,-33.591463,22.205131,044 514 0009,,,Oudtshoorn,84,Lewis Stores,Oudtshoorn,6620,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,32 Caledon Street Graaff Reinet  ,Graaffreinet,73,NULL,0209,-32.24864,24.53555,049 054 0101,,,Graaffreinet,76,Lewis Stores,Graaffreinet,6280,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,81 Marsh Street Mossel Bay  ,Mossel Bay,73,NULL,0210,-34.18247506,22.1444885,044 514 0019,,,Mossel Bay,84,Lewis Stores,Mossel Bay,6500,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,14 Charles Street Somerset East  ,Somerset East,73,NULL,0212,-32.71866,25.58847,042 054 0002,,,Somerset East,76,Lewis Stores,Somerset East,5850,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,"Shop 7, Terminus Building Terminus Street East London ",East London,73,NULL,0213,-33.017802,27.902191,043 054 0417,,,East London,76,Lewis Stores,East London,5201,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,cnr Cambridge & Ayliff St Kingwilliamstown  ,Kingwilliamstown,73,NULL,0214,-32.87981,27.3897,043 054 0439,,,Kingwilliamstown,76,Lewis Stores,Kingwilliamstown,5601,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,3234 High Street Grahamstown  ,Grahamstown,73,NULL,0215,-33.30966,26.52833,046 514 0101,,,Grahamstown,76,Lewis Stores,Grahamstown,6139,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,46 Cathcart Street Kingwilliamstown  ,Kingwilliamstown,73,NULL,0216,-32.878162,27.387786,043 642 1313,043 642 2248,,Kingwilliamstown,76,Lewis Stores,Kingwilliamstown,5601,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Shop no2 4 Madeira Street Mthatha ,Mthatha,73,NULL,0218,-31.58873695,28.78872391,040 054 0702,,,Mthatha,76,Lewis Stores,Mthatha,5100,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,57 Meintjies Street Middelburg  ,Middelburg  Cape,73,NULL,0220,-31.494186,25.006464,049 054 0100,,,Middelburg  Cape,76,Lewis Stores,Middelburg  Cape,5900,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Taylor Street Burgersdorp  ,Burgersdorp,73,NULL,0221,-30.995164,26.330083,051 054 5270,,,Burgersdorp,76,Lewis Stores,Burgersdorp,9744,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,3943 Campbell Street Fort Beaufort  ,Fort Beaufort,73,NULL,0223,-32.77863,26.63124,046 514 0100,,,Fort Beaufort,76,Lewis Stores,Fort Beaufort,5720,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,24 Frere Street Cradock  ,Cradock,73,NULL,0224,-32.169375,25.6189,048 054 0101,,,Cradock,76,Lewis Stores,Cradock,5880,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,75 Cathcart Street Queenstown  ,Queenstown,73,NULL,0225,-31.896311,26.872697,045 514 0031,,,Queenstown,76,Lewis Stores,Queenstown,5319,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,29a Main Street Despatch  ,Despatch,73,NULL,0226,-33.799094,25.466869,041 054 5485,,,Despatch,76,Lewis Stores,Despatch,6220,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,61 Main Street Humansdorp  ,Humansdorp,73,NULL,0227,-34.030167,24.770456,042 054 0001,,,Humansdorp,76,Lewis Stores,Humansdorp,6300,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,20 McClean Street Stutterheim  ,Stutterheim,73,NULL,0228,-32.568894,27.429201,043 054 0404,,,Stutterheim,76,Lewis Stores,Stutterheim,4930,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,9 Maclear Road Elliot  ,Elliot,73,NULL,0230,-31.334387,27.847995,045 514 0028,,,Elliot,76,Lewis Stores,Elliot,5460,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,33 Willow Street MacClear  ,Maclear,73,NULL,0231,-31.068922,28.349134,045 514 0030,,,Maclear,76,Lewis Stores,Maclear,5480,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,cnr Blythe & Sauer Sts Butterworth  ,Butterworth,73,NULL,0233,-32.333026,28.146341,047 108 5017,,,Butterworth,76,Lewis Stores,Butterworth,4960,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,61 Voortrekker Street Uniondale  ,Uniondale,73,NULL,0235,-33.659095,23.122987,044 752 1127,044 752 1197,,Uniondale,84,Lewis Stores,Uniondale,6460,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Church Street Steynsburg  ,Steynsburg,73,NULL,0237,-31.295129,25.82522,048 054 0100,,,Steynsburg,76,Lewis Stores,Steynsburg,5920,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,100 Long Street Matatiele  ,Matatiele,73,NULL,0238,-30.340936,28.806989,039 200 9102,,,Matatiele,79,Lewis Stores,Matatiele,4730,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,Main Road Hankey  ,Hankey,73,NULL,0242,-33.83304266,24.88323283,042 054 0003,,,Hankey,76,Lewis Stores,Hankey,6350,08:00 - 17:00,08:00 - 13:00,CLOSED
