Store Name,Phone Number,Address,Latitude,Longitude,Trading Hours,Contact URL
DIY Depot Kathu,0746873287,0 Rietbok Street Kathu Northern Cape 8446 South AFrica,-27.698361,23.045428,Mon - Fri: 08:00 - 17:30Sat: 08:00 - 15:00Sun: 09:00 - 13:30Phol: 09:00 - 13:30,https://www.diydepot.co.za/diy-store/diy-depot-kathu/
DIY Depot Kuruman,053 712 2143,12 Livingstone Street Kuruman 8460,-27.460243,23.436091,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: 08:30 - 13:00Phol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-kuruman-2/
DIY Depot Black Rock,071 814 1619,Corner Main Street Black Rock Northern Cape 8491 South Africa,-27.120467,22.848058,Mon - Thurs: 07:00 - 17:00Friday: 07:00 - 14:00Sat: ClosedSun: ClosedPhol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-black-rock/
DIY Depot Qonce,076 600 0480,168 Buffalo Street Qonce Eastern Cape 5601 South Africa,-32.883359,27.38912,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 15:00Sun: 09:00 - 14:00Phol: 08:00 - 17:00,https://www.diydepot.co.za/diy-store/diy-depot-qonce/
DIY Depot Qonce 2,076 600 0480,184 Buffalo Road Qonce Eatern Cape 5600 South Africa,-32.881921,27.388099,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: 08:00 - 14:00Phol: 08:00 - 14:00,https://www.diydepot.co.za/diy-store/diy-depot-qonce-2/
DIY Depot Gariep,051 754 0200,7 Jangroentjie Straat Gariepdam Free State 9922 South Africa,-30.591333,25.490899,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPub Hol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-gariep/
DIY Depot Alice,084 688 6883,Cnr Main & Long Market Street Alice Eastern Cape 5700 South Africa,-32.787587,26.8362,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 17:00Sun: 08:00 - 17:00Phol: 08:00 - 17:00,https://www.diydepot.co.za/diy-store/diy-depot-alice/
DIY Depot Ekaya,012 542 1744,1004 Mbombela Street Soshanguve Gauteng 0152 South Africa,-25.588549,28.106964,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 16:00Sun: 08:00 - 13:00Phol: 08:00 - 14:00,https://www.diydepot.co.za/diy-store/diy-depot-ekaya/
DIY Depot Paynter’s,012 377 0555,480 Moot Street Hermanstad Pretoria Gauteng 0082 South Africa,-25.712906,28.159056,Monday - Friday: 07:30–17:00Saturday: 08:00–13:00Sunday: Closed,https://www.diydepot.co.za/diy-store/diy-depot-paynters/
DIY Depot Warden,058 643 0078,20 Piet Retief Road Warden Free State 9890 South Africa,-27.858699,28.965646,Mon - Fri: 08:30 - 16:30Sat: 08:30 - 13:30Sun: CLOSEDPhol:  CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-warden/
DIY Depot Vaal Park,083 551 5077,20 Baviaanskloof Street Vaal Park Sasolburg Free State 1911 South Africa,-26.766156,27.839846,Monday - Friday: 06:30 - 18:00Saturday: 07:00 - 13:00Sunday: 07:00 - 13:00Public Holidays: 07:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-vaal-park/
DIY Depot Botshabelo Main,051 534 1333,25 Blue Street Botshabelo Industrial Botshabelo Free State 9781 South Africa,-29.199791,26.70576,Mon - Thurs: 08:00 - 17:00Fri: 8:00 - 12:00 / 14:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol:  Closed,https://www.diydepot.co.za/diy-store/diy-depot-botshabelo-main/
DIY Depot Dundee,034 212 4200,56 Karel Landman Street Dundee KZN 3000 South Africa,-28.163845,30.227224,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: 09:00 - 13:00Phol:  09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-dundee-2/
DIY Depot Doornpoort,012 942 5740,"Shop 17, Airport Road Doornpoort Pretoria Gauteng 0017 South Africa",-25.648496,28.236647,Mon - Fri: 07:30 - 17:00Sat: 08:00 - 15:00Sun: CLOSEDPhol: 08:00 - 15:00,https://www.diydepot.co.za/diy-store/diy-depot-doornpoort-2/
DIY Depot Bergville,036 448 10415,11 Tatham Road Bergville KZN 3350 South AFrica,-28.72802,29.349493,Mon - Fri: 09:00 - 17:00Sat: 09:00 - 14:00Sun: ClosedPub Hol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-bergville/
DIY Depot Ryneveld,072 391 0111,Shop 10 Ryneveld corner centre Pierre van Ryneveld Park Centurion Gauteng 0157 South Africa,-25.842159179679722,28.243910001852406,Mon - Fri: 07:30 - 17:30Sat: 08:00 - 15:00Sun: CLOSEDPhol:  08:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-ryneveld/
DIY Depot Rivonia,011 783 3440,17 Autumn Road Rivonia Gauteng 2128 South Africa,-26.043942,28.0593621,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 15:00Sun: 09:00 - 13:00Phol:  09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-rivonia/
DIY Depot Wierdapark,082 456 3080,190 Hendrik Street Wierda Park Centurion Gauteng 0159 South Africa,-25.864352,28.143955,Mon - Fri: 08:00 - 17:30Friday closed between 12:15 - 13:30Sat: 07:30 - 15:00Sun: 08:30 - 13:00Phol:  08:30 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-wierdapark/
DIY Depot Gonubie,043 740 1372,35 Main Road Gonubie East London Eastern Cape 5257 South Africa,-32.9385541,28.0105805,N/A,https://www.diydepot.co.za/diy-store/diy-depot-gonubie/
DIY Depot Prieska,053-353-2024,Hoofstraat 14 Prieska Northern Cape 8940 South Africa,-29.663670766025724,22.74899213254091,Monday – Friday: 08:00 – 13:00 and 14:00 – 17:00Saturday:             08:00 – 12:00Sundays:              ClosedPublic Holidays:   Closed,https://www.diydepot.co.za/diy-store/diy-depot-prieska-2/
DIY Depot Bethulie,082 494 5799,23A Voortrekker Street Bethulie Northern Cape 9992 South Africa,-30.504149464622454,25.972377281126146,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-bethulie/
DIY Depot Greytown,082 327 4800,"169A Pine Street,, Greytown KwaZulu-Natal 3250 South Africa",-29.0625049,30.5876205,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-greytown/
DIY Depot Butterworth,074 312 0113,N2 Ibika Junction 1069 Zithulele Industrial Butterworth 4960,-32.289417,28.211167,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: CLOSEDPhol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-butterworth/
DIY Depot Arcon Park,016 150 0088,4 Johannesburg Road Arcornpark Vereeniging Gauteng 1937 South Africa,-26.637354,27.936169,Mon - Fri: 08:00 - 17:30Sat: 08:00 - 15:00Sun: 09:00 - 13:00Phol: 09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-arcon-park/
DIY Depot Burgersfort,063 630 1964,Mashifani Park Burgersfort Limpopo 1150 Limpopo,-24.658368,30.289271,N/A,https://www.diydepot.co.za/diy-store/diy-depot-burgersfort-2/
DIY Depot Kwanobuhle,087 158 3552,Shop 42 & 44 Kwandbuhle Shopping Centre Kwandbuhle Eastern Cape 6242 South Africa,-33.805109,25.398159,N/A,https://www.diydepot.co.za/diy-store/diy-depot-kwanobuhle-2/
DIY Depot Felsher’s,011 837 3432,59 High Street Brixton Johannesburg Gauteng 2090 South Africa,-26.19222,27.99423,Mon - Fri: 08H00-17H00Saturday: 08H00-13H00Sunday: 09H00-12H00,https://www.diydepot.co.za/diy-store/diy-depot-felshers/
DIY Depot Oranjeville,016 351 1954,25 Roets Street Oranjeville Gauteng 1995 South Africa,-26.9940547,28.2116697,Mon - Fri: 07:30 - 16:30Sat: 07:30 - 12:00Sun: CLOSEDPhol: 07:30 - 12:00,https://www.diydepot.co.za/diy-store/diy-depot-oranjeville/
DIY Depot Orania,087 237 6800,N19 Ysterklip Street Industrial Area Orania Northern Cape 8759 South Africa,-29.82099,24.415866,Monday-Friday: 08:00-17:00Sat: 08:00 - 13:00Sun: CLOSEDPhol: 07:00 - 17:00,https://www.diydepot.co.za/diy-store/diy-depot-orania/
DIY Depot Graskop,013 767 1945,16 Richardson Street Opposite Spar Graskop Mpumalanga 1270 South Africa,-24.933548,30.841461,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:30Sun & Phol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-graskop/
DIY Depot Balfour,017 773 0013,100 Mury Street Balfour Mpumalanga 1173 South Africa,-26.658227602913215,28.58409550059432,N/A,https://www.diydepot.co.za/diy-store/diy-depot-balfour/
DIY Depot Ugie,045 933 1117,35 Umga Street Ugie Kwazulu natal 5670 South Africa,-31.202296,28.235688,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: 08:00 - 14:00Phol: 08:00 - 14:00,https://www.diydepot.co.za/diy-store/diy-depot-ugie/
DIY Depot Cala,065 170 1734,Tsomo Street Cala Pretoria Eastern Cape 5455 Southafrica,-31.531761,27.707451,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:30Sun: CLOSEDPhol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-cala/
DIY Depot Robertson,023 626 5796,2B Voortrekker Street Robertson Western Cape 6705 South Africa,-33.812311,19.886392,N/A,https://www.diydepot.co.za/diy-store/diy-depot-robertson/
DIY Depot Grootbrak,087 095 5350,De Dekke Complex Cnr End & Long Street Groot Brakrivier Western Cape 6525 South Africa,-34.05446795078281,22.22479336394951,Mon - Fri: 07:30 - 17:00Sat: 08:00 - 15:00Sun: CLOSEDPhol: 08:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-grootbrak/
DIY Depot Indwe,061 117 6349,9 Voortrekker Street Indwe Eastern Cape 5445 South Africa,-31.4693826,27.3403164,Mon - Fri: 07:30 - 17:00Sat: 08:00 - 14:00Sun: CLOSEPhol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-indwe/
DIY Depot Aliwal North,072 907 8786,26 Grey Street Aliwal North Eastern Cape 9750 South Africa,-30.6900835,26.7096275,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 14:00Sun: CLOSEDPhol: 08:00 - 15:00,https://www.diydepot.co.za/diy-store/diy-depot-aliwal-north/
DIY Depot Modimolle,074 656 9669,76 Nelson Mandela Drive Modimolle Limpopo 0510 South Africa,-24.7043882,28.4097937,N/A,https://www.diydepot.co.za/diy-store/diy-depot-modimolle/
DIY Depot Matatiele,064 860 3062,89 North Street Matatiele Eastern Cape South Adrica,-30.36211,28.8014121,Mon - Fri: 07:30 - 16:30Sat: 07:30 - 14:00Sun & Public Holidays: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-matatiele/
DIY Depot Devon,017 688 0123,93 Derwig Street Devon Mpumalanga 2260 South Africa,-26.355,28.7823611,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 15:00Sun: ClosedPhol: 08:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-devon/
DIY Depot Wakkerstroom,087 170 0881,"140 Hoog Street, Wakkerstroom KwaZulu Natal 2480 South Africa",-27.3568325,30.1431366,Mon - Fri: 08:00 - 18:00Saturday: 08:00 - 14:00Sunday &Public Holidays : 08:00 - 14:00,https://www.diydepot.co.za/diy-store/diy-depot-wakkerstroom/
DIY Depot Ashton,072 227 5925,21 Main Road Ashton Western Cape 6715 South Africa,-33.835181,20.052152,N/A,https://www.diydepot.co.za/diy-store/diy-depot-ashton/
DIY Depot Jeffrey’s Bay,042 293 3876,26 Francis Street Jeffrey's Bay Eastern Cape 6330 South Africa,-34.0552,24.9194,Monday - Friday: 07:30 - 16:30Saturdays: 08:00 - 13:00Sunday & Public Holidays: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-jeffreys-bay/
DIY Depot Kidds Beach,043 111 0448,1 Palm Springs Road Kidds Beach East London 5264 South Africa,-33.142378,27.681838,N/A,https://www.diydepot.co.za/diy-store/diy-depot-kidds-beach/
DIY Depot Mount Fletcher,064 860 3062,R56 Mount Fletcher Eastern Cape 4770 South Africa,-30.689535,28.503398,N/A,https://www.diydepot.co.za/diy-store/diy-depot-mount-fletcher/
DIY Depot Brandfort,051 821 1086,22 Loop Street Brandfort Free State 9400 South Africa,-28.701314,26.462013,N/A,https://www.diydepot.co.za/diy-store/diy-depot-brandfort/
DIY Depot Uitenhage,041 992 5615,49 Bell Street Uitenhage Eastern Cape South Africa,-33.77334238126008,25.372040413986188,N/A,https://www.diydepot.co.za/diy-store/diy-depot-uitenhage/
DIY Depot Bedford,046 685 0242,30 Donkin St Bedford Eastern Cape 5780 South Africa,-32.679833,26.085944,N/A,https://www.diydepot.co.za/diy-store/diy-depot-bedford/
DIY Depot Weenen Agri,036 354 1851,1 Station Street Weenen KwaZulu-Natal 3325 South Africa,-28.855684,30.071073,N/A,https://www.diydepot.co.za/diy-store/diy-depot-weenen-agri/
DIY Depot Agra Rundu,081 156 4362,"Main Street Rundu, Rundu Industrial Area, Rundu Namibia Namibia",-17.91926,19.770237,N/A,https://www.diydepot.co.za/diy-store/diy-depot-agra-rundu/
DIY Depot Ermelo,017 811 2776,33 Oosthuise Street Ermelo Mpumalanga 2351 South Africa,-26.516892,29.989083,N/A,https://www.diydepot.co.za/diy-store/diy-depot-ermelo/
DIY Depot Qwa Qwa,064 519 4007,Main Road Mphatlalatsane (Opposite Mqayana Construction) Qwa Qwa Free State 9866 South Africa,-28.508574,28.831941,"Mon - Thurs: 08H00 -16H30Friday: 08H00 -12H30, 14H00 - 16H30Sat: 08H00 -14H00Sun: Closed",https://www.diydepot.co.za/diy-store/diy-depot-qwa-qwa/
DIY Depot Radium,014 733 0609,"Plot 168, Old Pretoria Road (R101) Blaawbackskuil Radium Limpopo South Africa",-25.086924,28.306372,N/A,https://www.diydepot.co.za/diy-store/diy-depot-radium/
DIY Depot Wolmaransstad,018 596 1129,22 Broadbent Street Wolmaransstad North West South Africa,-27.205568,25.981177,N/A,https://www.diydepot.co.za/diy-store/diy-depot-wolmaransstad-2/
DIY Depot Bultfontein,051 853 1175,7 Davin Street Bultfontein Free State 9670 South Africa,-28.288136,26.151051,Mon - Fri: 08:00 - 13:00 - 14:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPhol: 09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-bultfontein-2/
DIY Depot Senekal,058 481 3050,12 Dreyer St Senekal Free State 9600 South Africa,-28.324645,27.622291,N/A,https://www.diydepot.co.za/diy-store/diy-depot-senekal/
DIY Depot Ottosdal,018 571 0158,56 Voortrekker Street Ottosdal North West 2610 South Africa,-26.811743,26.004973,N/A,https://www.diydepot.co.za/diy-store/diy-depot-ottosdal/
DIY Depot Sasolburg,016 973 1164,"Unit 8, Riemland Complex 18 Riemland St Sasolburg Gauteng 1947 South Africa",-26.813179,27.824211,N/A,https://www.diydepot.co.za/diy-store/diy-depot-sasolburg/
DIY Depot Marquard,051 991 0442,22 Union Street Marquard Free State 9610 South Africa,-28.665478,27.42802,N/A,https://www.diydepot.co.za/diy-store/diy-depot-marquard/
DIY Depot Adelaide,046 684 0116,30 Church Street Adelaide Adelaide Eastern Cape 5760 South Africa,-32.709,26.29525,N/A,https://www.diydepot.co.za/diy-store/diy-depot-adelaide/
DIY Depot Lindley,058 463 0006,2 V D Hever St Lindley Free State 9630 South Africa,-27.877459,27.919376,N/A,https://www.diydepot.co.za/diy-store/diy-depot-lindley/
DIY Depot Zastron,051 673 1382,6 Mathey St Zastron Free State 9950 South Africa,-30.302164,27.083715,N/A,https://www.diydepot.co.za/diy-store/diy-depot-zastron-2/
DIY Depot Plettenberg Bay,044 533 0328,988 Piesang Valley Road Plettenberg Bay Western Cape 6600 South Africa,-34.061969,23.366341,N/A,https://www.diydepot.co.za/diy-store/diy-depot-plettenberg-bay/
DIY Depot Mossel Bay,044 695 1215,4 Rooken Smith Street Mossel Bay Western Cape 6506 South Africa,-34.143192,22.10084,N/A,https://www.diydepot.co.za/diy-store/diy-depot-mossel-bay/
DIY Depot Beaufort West,023 415 1590,Cnr of Church & Nuwe Straat Beaufort West Western Cape 6970 South Africa,-32.350241,22.581677,N/A,https://www.diydepot.co.za/diy-store/diy-depot-beaufort-west/
DIY Depot Colesberg,051 753 1614,10 Station Road Colesberg Northern Cape 9795 South Africa,-30.7141,25.101137,N/A,https://www.diydepot.co.za/diy-store/diy-depot-colesberg/
DIY Depot Zeerust,071 659 9263,17 Kloof Street Zeerust North West 2865 South Africa,-25.54589,26.07802,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 15:00Sun: 09:00 - 13:00Phol: 09:00 - 13:00,https://www.diydepot.co.za/diy-store/diy-depot-zeerust/
DIY Depot Vryburg 2,053 927 2197,182 Vry Street Vryburg North West 8600 South Africa,-26.961408,24.7398,N/A,https://www.diydepot.co.za/diy-store/diy-depot-vryburg-2/
DIY Depot Vryburg,053 927 5615/6,191 Stella Street Vryburg North West 8600 South Africa,-26.958387110573366,24.741593227600106,N/A,https://www.diydepot.co.za/diy-store/diy-depot-vryburg/
DIY Depot Taung,082 087 3046,Taung Forum Centre Station Road Taung North West 8584 South Africa,-27.561138,24.747641,N/A,https://www.diydepot.co.za/diy-store/diy-depot-taung/
DIY Depot Brits,012 252 2600,47 Carel De Wet Street Brits North West 0250 South Africa,-25.622728,27.79464,N/A,https://www.diydepot.co.za/diy-store/diy-depot-brits/
DIY Depot Trichardt,017 638 0033/2,7 Barney Molokwane Trichardt Mpumalanga 2302 South Africa,-26.488853,29.22933,N/A,https://www.diydepot.co.za/diy-store/diy-depot-trichardt/
DIY Depot Sundra,010 448 6738,"38 Witbank Road, Sundra 2200 Delmas Mpumalanga South Africa",-26.186859,28.546694,N/A,https://www.diydepot.co.za/diy-store/diy-depot-sundra/
DIY Depot Piet Retief,017 826 4408,Market Street Piet Retief Mpumalanga 2380 South Africa,-27.002203,30.800911,N/A,https://www.diydepot.co.za/diy-store/diy-depot-piet-retief/
DIY Depot Nelspruit,013 752 4832,43 Anderson Street Nelspruit Mpumalanga 1201 South Africa,-25.470921,30.974195,N/A,https://www.diydepot.co.za/diy-store/diy-depot-nelspruit/
DIY Depot Bela Bela,014 112 0095,15 Sutter Road Bela-Bela Limpopo 0480 South Africa,-24.88612,28.296267,N/A,https://www.diydepot.co.za/diy-store/diy-depot-bela-bela/
DIY Depot Maseru,(00266) 28350278 / 22350278,Main South One Road Maseru Lesotho Lesotho,-29.405506,27.560463,N/A,https://www.diydepot.co.za/diy-store/diy-depot-maseru/
DIY Depot St Lucia,035 590 1007 / 1686,40 Mckenzie Street St Lucia KwaZulu-Natal 3936 South Africa,-28.373423,32.412426,N/A,https://www.diydepot.co.za/diy-store/diy-depot-st-lucia/
DIY Depot Newcastle,034 312 2980 / 017 826 4408,17A Scott Street Newcastle KwaZulu-Natal 2940 South Africa,-27.753824,29.938341,N/A,https://www.diydepot.co.za/diy-store/diy-depot-newcastle/
DIY Depot Sunward Park,011 913 0764/1580,"Shop 1, Kingfisher Corner Shopping Centre Kingfisher Avenue Boksburg Gauteng 1470 South Africa",-26.25639,28.264494,N/A,https://www.diydepot.co.za/diy-store/diy-depot-sunward-park/
DIY Depot Springs,011 811 6411,97 4th Ave Springs Gauteng 1559 South Africa,-26.243021,28.427181,N/A,https://www.diydepot.co.za/diy-store/diy-depot-springs/
DIY Depot Savoy,011 440 9834,"580 Louis Botha Avenue, Savoy Estate Johannesburg Gauteng 2018 South Africa",-26.126791,28.085024,N/A,https://www.diydepot.co.za/diy-store/diy-depot-savoy/
DIY Depot Orange Farm,016 581 0715,"Shop 63, Palm Springs Mall, R551 Vereeniging Gauteng 1805 South Africa",-26.497231,27.843769,N/A,https://www.diydepot.co.za/diy-store/diy-depot-orange-farm/
DIY Depot Linden – Gauteng,011 782 6800,"57 4th Avenue, Linden Randburg Gauteng 2104 South Africa",-26.141329,27.992683,N/A,https://www.diydepot.co.za/diy-store/diy-depot-linden-gauteng/
DIY Depot Hercules – Gauteng,012 379 4062,480 Moot Street Hermanstad Pretoria Gauteng 0019 South Africa,-25.712955,28.159206,N/A,https://www.diydepot.co.za/diy-store/diy-depot-hercules-gauteng/
DIY Depot Hekpoort,014 576 1143,HN Plot 504 Hekpoort Gauteng South Africa,-25.883293,27.616688,N/A,https://www.diydepot.co.za/diy-store/diy-depot-hekpoort/
DIY Depot Brakpan,011 740 9526,149 Prince George Ave Brakpan Gauteng 1540 South Africa,-26.23177,28.361723,N/A,https://www.diydepot.co.za/diy-store/diy-depot-brakpan/
DIY Depot Brackengate,011 868 1285/1622,"Shop 12, Brackengate Shopping Centre, 52 Andries Rd, Brackendowns Alberton Gauteng 1454 South Africa",-26.339662,28.095557,N/A,https://www.diydepot.co.za/diy-store/diy-depot-brackengate/
DIY Depot Winburg,051 881 1536,2 Victoria Street Winburg Free State 9420,-28.52403052680835,27.01052605026244,Mon-Fri: 07H30-17H00Sat: 07H30-13H00Sun & Public Hol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-winburg/
DIY Depot Petrus Steyn,074 861 2552,28 Reitz Street Petrus Steyn Free State 9640 South Africa,-27.647497,28.129782,"Mon-Thurs 08h00-13h00, 13h30-17h00Friday 08h00-12h00, 14h00-17h00Sat: 08h00-13h00Sun - Pub Hol: 09h00-13h00",https://www.diydepot.co.za/diy-store/diy-depot-petrus-steyn/
DIY Depot Odendaalsrus,057 398 2665,52 Goosens Street Odendaalsrus Free State 9480 South Africa,-27.876574,26.68771,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: CLOSEDPhol: CLOSED,https://www.diydepot.co.za/diy-store/diy-depot-odendaalsrus/
DIY Depot Clocolan,051 943 1992,50 1st Street Clocolan Free State 9735 South Africa,-28.913038,27.56373,N/A,https://www.diydepot.co.za/diy-store/diy-depot-clocolan/
DIY Depot Botshabelo,051 534 1399,18 Blue Street Botshabelo Free State 9781 South Africa,-29.199547,26.704666,Mon - Fri: 08:00 - 17:00Sat: 08:00 - 13:00Sun: ClosedPub Hol: Closed,https://www.diydepot.co.za/diy-store/diy-depot-botshabelo/
DIY Depot Blue Water Bay,041 466 8996,74 Hillcrest Drive Port Elizabeth Eastern Cape 6210 South Africa,-33.850151,25.63176,N/A,https://www.diydepot.co.za/diy-store/diy-depot-blue-water-bay/
